id,timestamp,symbol,last_price,bid_price,ask_price,volume,trade_time,msg_type
329,2025-01-21 14:44:31,GOOG,200.15,200.14,200.15,11148975,2025-01-21 20:44:30,quote
330,2025-01-21 14:44:31,NVDA,141.29,700,141.29,145143901,,quote
331,2025-01-21 14:44:31,GS,,,300,4281626,,quote
332,2025-01-21 14:44:31,COIN,,296.37,296.59,10796333,,quote
333,2025-01-21 14:44:31,SPY,602.58,602.57,602.58,27997415,,quote
334,2025-01-21 14:44:31,QQQ,,524.76,524.79,18793343,,quote
335,2025-01-21 14:44:31,TSLA,421.993,422,422.09,76378565,,quote
336,2025-01-21 14:44:31,AMZN,230.82,230.81,230.83,27714653,2025-01-21 20:44:30,quote
337,2025-01-21 14:44:31,NFLX,,,,5042596,,quote
338,2025-01-21 14:44:31,AAPL,221.49,,,70401399,2025-01-21 20:44:30,quote
339,2025-01-21 14:44:31,GS,634.0699,,200,4282025,2025-01-21 20:44:30,quote
340,2025-01-21 14:44:31,NVDA,141.28,141.27,500,145148751,2025-01-21 20:44:30,quote
341,2025-01-21 14:44:32,META,617.04,200,,7575606,2025-01-21 20:44:30,quote
342,2025-01-21 14:44:32,GOOG,,300,,11149612,,quote
343,2025-01-21 14:44:32,MSTR,388.171747,388.01,388.5,21466922,2025-01-21 20:44:30,quote
344,2025-01-21 14:44:32,AAPL,221.48,221.47,221.48,70404741,2025-01-21 20:44:31,quote
345,2025-01-21 14:44:32,SPY,602.57,602.56,1500,28000156,2025-01-21 20:44:31,quote
346,2025-01-21 14:44:32,QQQ,524.76,100,524.78,18794372,2025-01-21 20:44:32,quote
347,2025-01-21 14:44:32,TSLA,421.92,421.92,422.05,76382341,2025-01-21 20:44:31,quote
348,2025-01-21 14:44:32,META,616.94,,,7575942,2025-01-21 20:44:31,quote
349,2025-01-21 14:44:32,NFLX,868.22,,,5042702,2025-01-21 20:44:31,quote
350,2025-01-21 14:44:32,COIN,296.4,296.38,,10796576,2025-01-21 20:44:30,quote
351,2025-01-21 14:44:32,NVDA,141.2899,1600,800,145150203,2025-01-21 20:44:31,quote
352,2025-01-21 14:44:32,GOOG,200.155,,200.16,11150939,2025-01-21 20:44:31,quote
353,2025-01-21 14:44:32,AMZN,230.825,200,230.84,27714906,2025-01-21 20:44:31,quote
354,2025-01-21 14:44:33,MSTR,388.28,388.06,,21467488,2025-01-21 20:44:31,quote
355,2025-01-21 14:44:33,GS,,700,,4282121,,quote
356,2025-01-21 14:44:33,GOOG,200.16,200.15,,11151286,2025-01-21 20:44:33,quote
357,2025-01-21 14:44:33,AAPL,221.4786,,600,70405642,2025-01-21 20:44:32,quote
358,2025-01-21 14:44:33,COIN,296.37,296.19,,10798254,2025-01-21 20:44:32,quote
359,2025-01-21 14:44:33,QQQ,,,524.77,18794373,,quote
