timestamp,symbol,event,latency_ms,request_id,stage,exchange_time,broker_latency_ms,total_latency_ms
2025-01-21T20:02:31.699441Z,QQQ,parse,35.469056,REQ000037,parse
2025-01-21T20:02:31.741682Z,QQQ,write,77.710336,REQ000037,write
2025-01-21T20:02:31.805922Z,QQQ,total,141.950208,REQ000037,total
2025-01-21T20:02:31.819603Z,QQQ,broker,155.631104,REQ000037,broker
2025-01-21T20:02:31.860398Z,SPY,wire,0.898048,REQ000038,wire
2025-01-21T20:02:31.868095Z,SPY,parse,8.594944,REQ000038,parse
2025-01-21T20:02:31.891981Z,SPY,write,32.480768,REQ000038,write
2025-01-21T20:02:31.904649Z,SPY,total,45.148928,REQ000038,total
2025-01-21T20:02:31.912711Z,SPY,broker,53.21088,REQ000038,broker
2025-01-21T20:02:31.919980Z,AAPL,wire,0.609024,REQ000039,wire
2025-01-21T20:02:31.925207Z,AAPL,parse,5.835776,REQ000039,parse
2025-01-21T20:02:31.929664Z,AAPL,write,10.292992,REQ000039,write
2025-01-21T20:02:31.932916Z,AAPL,total,13.54496,REQ000039,total
2025-01-21T20:02:31.936552Z,AAPL,broker,17.180928,REQ000039,broker
2025-01-21T20:02:31.940473Z,SPY,wire,0.460032,REQ000040,wire
2025-01-21T20:02:31.943030Z,SPY,parse,3.01696,REQ000040,parse
2025-01-21T20:02:31.949377Z,SPY,write,9.363968,REQ000040,write
2025-01-21T20:02:31.952032Z,SPY,total,12.018944,REQ000040,total
2025-01-21T20:02:31.953755Z,SPY,broker,13.741824,REQ000040,broker
2025-01-21T20:02:32.656965Z,AAPL,wire,0.64896,REQ000041,wire
2025-01-21T20:02:32.661351Z,AAPL,parse,5.034752,REQ000041,parse
2025-01-21T20:02:32.665727Z,AAPL,write,9.410816,REQ000041,write
2025-01-21T20:02:32.669057Z,AAPL,total,12.740608,REQ000041,total
2025-01-21T20:02:32.672493Z,AAPL,broker,16.176896,REQ000041,broker
2025-01-21T20:02:32.677529Z,QQQ,wire,0.285184,REQ000042,wire
2025-01-21T20:02:32.680412Z,QQQ,parse,3.168256,REQ000042,parse
2025-01-21T20:02:32.683352Z,QQQ,write,6.10816,REQ000042,write
2025-01-21T20:02:32.686044Z,QQQ,total,8.8,REQ000042,total
2025-01-21T20:02:32.688444Z,QQQ,broker,11.2,REQ000042,broker
2025-01-21T20:02:32.692597Z,QQQ,wire,0.226048,REQ000043,wire
2025-01-21T20:02:32.694864Z,QQQ,parse,2.493184,REQ000043,parse
2025-01-21T20:02:32.697049Z,QQQ,write,4.677888,REQ000043,write
2025-01-21T20:02:32.698982Z,QQQ,total,6.610944,REQ000043,total
2025-01-21T20:02:32.700991Z,QQQ,broker,8.620032,REQ000043,broker
2025-01-21T20:02:33.664982Z,AAPL,wire,0.899072,REQ000044,wire
2025-01-21T20:02:33.670488Z,AAPL,parse,6.40512,REQ000044,parse
2025-01-21T20:02:33.674580Z,AAPL,write,10.49728,REQ000044,write
2025-01-21T20:02:33.678303Z,AAPL,total,14.220032,REQ000044,total
2025-01-21T20:02:33.681620Z,AAPL,broker,17.537024,REQ000044,broker
2025-01-21T20:02:33.689547Z,SPY,wire,0.290048,REQ000045,wire
2025-01-21T20:02:33.692187Z,SPY,parse,2.930176,REQ000045,parse
2025-01-21T20:02:33.694446Z,SPY,write,5.18912,REQ000045,write
2025-01-21T20:02:33.696828Z,SPY,total,7.570944,REQ000045,total
2025-01-21T20:02:33.699062Z,SPY,broker,9.805056,REQ000045,broker
2025-01-21T20:02:33.703020Z,QQQ,wire,0.212992,REQ000046,wire
2025-01-21T20:02:33.705053Z,QQQ,parse,2.246144,REQ000046,parse
