symbol,received_time,trade_time,server_time,last,bid,ask,bid_size,ask_size,volume,type
AAPL,2025-01-11T00:42:53.021609Z,,,,,,,,61702057,quote
QQQ,2025-01-11T00:42:53.023050Z,,,,,,,,40519012,quote
QQQ,2025-01-11T00:42:53.025516Z,,,,,,,,40519013,quote
SPY,2025-01-11T00:42:53.027586Z,,,,,,,,73099567,quote
QQQ,2025-01-11T00:42:53.029159Z,,,,,200,,200,,quote
AAPL,2025-01-11T00:42:53.030632Z,,,,,,,,61702058,quote
QQQ,2025-01-11T00:42:53.032472Z,,,,,,,,40519019,quote
SPY,2025-01-11T00:42:53.033836Z,,,,,,,,73099577,quote
AAPL,2025-01-11T00:42:53.034705Z,,,,,,,,61702059,quote
SPY,2025-01-11T00:43:21.098081Z,,,,,,,,73099583,quote
SPY,2025-01-11T00:43:21.101673Z,,,,,,,,73099585,quote
AAPL,2025-01-11T00:43:21.103574Z,,,,,,,,61702060,quote
,2025-01-11T00:43:21.105085Z,,2025-01-11T00:43:02Z,,,,,,,heartbeat
SPY,2025-01-11T00:43:21.106491Z,,,,,,,,73099586,quote
AAPL,2025-01-11T00:43:21.107520Z,,,,,,,,61702065,quote
AAPL,2025-01-11T00:43:21.108796Z,,,,,,,,61702075,quote
QQQ,2025-01-11T00:43:21.109853Z,,,,,,,,40519020,quote
AAPL,2025-01-11T00:43:21.110836Z,,,,,,,,61702081,quote
SPY,2025-01-11T00:43:21.112058Z,,,,,579.86,,,,quote
QQQ,2025-01-11T00:43:21.113208Z,,,,,,,,40519022,quote
AAPL,2025-01-11T00:43:21.114274Z,,,,,,,,61702082,quote
SPY,2025-01-11T00:43:21.115664Z,,,,,,,,73099595,quote
QQQ,2025-01-11T00:43:45.059442Z,,,,,,,,40519024,quote
AAPL,2025-01-11T00:43:45.062366Z,,,,,,,,61702084,quote
QQQ,2025-01-11T00:43:45.063381Z,,,,,,,,40519026,quote
SPY,2025-01-11T00:43:45.064387Z,,,,,,,,73099596,quote
AAPL,2025-01-11T00:43:45.065474Z,,,,,237,,200,61702085,quote
SPY,2025-01-11T00:43:45.067200Z,,,,,,,,73099604,quote
,2025-01-11T00:43:45.069309Z,,2025-01-11T00:43:35Z,,,,,,,heartbeat
AAPL,2025-01-11T00:43:45.071293Z,,,,,,,,61702086,quote
AAPL,2025-01-11T00:43:45.072515Z,,,,,,,,61702088,quote
QQQ,2025-01-11T00:43:45.074047Z,,,,,,,,40519027,quote
