symbol,received_time,trade_time,server_time,last,bid,ask,bid_size,ask_size,volume,type
AAPL,2025-01-10T13:37:24.005346Z,,,,241,,100,,,quote
AAPL,2025-01-10T13:37:24.006983Z,,,,,,,,210466,quote
AAPL,2025-01-10T13:37:24.008341Z,,,,241.06,,200,,,quote
AAPL,2025-01-10T13:37:30.993523Z,,,,241,300,100,300,210507,quote
AAPL,2025-01-10T13:37:30.996170Z,,,,241.04,,200,,210508,quote
AAPL,2025-01-10T13:37:30.998831Z,2025-01-10T13:37:26Z,,241.26,241,,100,,210743,quote
AAPL,2025-01-10T13:37:31.000474Z,,,,241.17,,300,,210744,quote
AAPL,2025-01-10T13:37:31.002342Z,2025-01-10T13:37:28Z,,241.27,,,,,210844,quote
AAPL,2025-01-10T13:37:31.004778Z,,,,,,,,210885,quote
AAPL,2025-01-10T13:37:38.994132Z,2025-01-10T13:37:30Z,,241.1727,,,,,210985,quote
AAPL,2025-01-10T13:37:38.997580Z,,,,,241.23,,100,,quote
AAPL,2025-01-10T13:37:38.998940Z,,,,200,,200,,211244,quote
AAPL,2025-01-10T13:37:39.000898Z,,,,,,,,211246,quote
AAPL,2025-01-10T13:37:39.001844Z,,,,,,,,211286,quote
AAPL,2025-01-10T13:37:39.002813Z,2025-01-10T13:37:37Z,,241.1701,,241.33,,200,214767,quote
AAPL,2025-01-10T13:37:43.993785Z,,,,,,,,214787,quote
AAPL,2025-01-10T13:37:43.995822Z,,,,,241.36,,300,,quote
AAPL,2025-01-10T13:37:43.997384Z,,,,,,,,214788,quote
AAPL,2025-01-10T13:37:43.998976Z,2025-01-10T13:37:41Z,,241.1978,,,,,214990,quote
AAPL,2025-01-10T13:37:44.001104Z,2025-01-10T13:37:42Z,,241.17,100,,100,,215390,quote
AAPL,2025-01-10T13:37:51.003991Z,2025-01-10T13:37:43Z,,241.2,241,241.28,,200,215786,quote
AAPL,2025-01-10T13:37:51.008612Z,,,,,241.33,,400,215798,quote
AAPL,2025-01-10T13:37:51.010779Z,2025-01-10T13:37:46Z,,241,,200,,200,215918,quote
AAPL,2025-01-10T13:37:51.013046Z,,,,,,,,215919,quote
AAPL,2025-01-10T13:37:51.014570Z,,,,,241.31,,,215920,quote
AAPL,2025-01-10T13:38:02.106903Z,2025-01-10T13:37:50Z,,241.2,200,241.32,200,,216586,quote
AAPL,2025-01-10T13:38:02.115580Z,,,,241.08,241.25,400,300,,quote
AAPL,2025-01-10T13:38:02.117936Z,,,,241,,100,,216708,quote
AAPL,2025-01-10T13:38:02.119780Z,,,,241.02,,200,,,quote
AAPL,2025-01-10T13:38:02.121887Z,,,,241.05,,,,,quote
AAPL,2025-01-10T13:38:02.123160Z,,,,241,400,100,400,216709,quote
AAPL,2025-01-10T13:38:02.124977Z,,,,,,,,216710,quote
AAPL,2025-01-10T13:38:13.064242Z,,,,,241.17,,300,,quote
AAPL,2025-01-10T13:38:13.069402Z,,,,,,,,216730,quote
AAPL,2025-01-10T13:38:13.071979Z,,,,,,,,216735,quote
AAPL,2025-01-10T13:38:13.075554Z,,,,,,,,216924,quote
AAPL,2025-01-10T13:38:13.077027Z,2025-01-10T13:38:07Z,,241,240.75,241.13,200,200,217044,quote
AAPL,2025-01-10T13:38:13.079790Z,,,,240.69,241.06,,100,,quote
AAPL,2025-01-10T13:38:13.081681Z,,,,240.71,,,,,quote
AAPL,2025-01-10T13:38:13.086101Z,,,,240.72,,,,,quote
AAPL,2025-01-10T13:38:13.088323Z,,,,240.82,,,,,quote
AAPL,2025-01-10T13:38:22.997425Z,,,,240.86,,,,217072,quote
AAPL,2025-01-10T13:38:23.001220Z,,,,240.85,241.15,,200,217073,quote
AAPL,2025-01-10T13:38:23.003621Z,,,,240.84,,,,217075,quote
AAPL,2025-01-10T13:38:23.006571Z,,,,,241.14,,,,quote
AAPL,2025-01-10T13:38:23.009827Z,,,,,241.13,,,,quote
AAPL,2025-01-10T13:38:23.011347Z,,,,240.73,240.96,,100,217107,quote
AAPL,2025-01-10T13:38:23.013265Z,,,,240.69,,,,,quote
AAPL,2025-01-10T13:38:23.016387Z,,,,240.71,,,,217113,quote
AAPL,2025-01-10T13:38:23.017812Z,,,,240.76,241,,1700,,quote
AAPL,2025-01-10T13:38:23.019085Z,,,,240.77,,,,,quote
AAPL,2025-01-10T13:38:33.031319Z,,,,240.76,,,,217114,quote
AAPL,2025-01-10T13:38:33.034743Z,,,,100,,100,,217118,quote
AAPL,2025-01-10T13:38:33.036390Z,,,,,,,,217120,quote
AAPL,2025-01-10T13:38:33.038195Z,,,,,,,,217121,quote
AAPL,2025-01-10T13:38:33.041105Z,,,,240.78,,200,,217123,quote
AAPL,2025-01-10T13:38:33.043434Z,,,,,,,,217138,quote
AAPL,2025-01-10T13:38:33.045845Z,2025-01-10T13:38:30Z,,240.9999,240.79,,400,,217238,quote
AAPL,2025-01-10T13:38:33.049541Z,,,,240.76,,,,,quote
AAPL,2025-01-10T13:38:45.116880Z,,,,240.79,,100,,217240,quote
AAPL,2025-01-10T13:38:45.120486Z,,,,400,,400,,217243,quote
AAPL,2025-01-10T13:38:45.123970Z,,,,100,,100,,,quote
AAPL,2025-01-10T13:38:45.125530Z,,,,,,,,217247,quote
AAPL,2025-01-10T13:38:45.126861Z,,,,,,,,217248,quote
AAPL,2025-01-10T13:38:45.128418Z,,,,400,,400,,217249,quote
AAPL,2025-01-10T13:38:45.129676Z,,,,240.8,,,,217250,quote
AAPL,2025-01-10T13:38:45.131227Z,,,,240.79,,100,,217276,quote
AAPL,2025-01-10T13:38:45.134532Z,,,,240.84,,200,,,quote
AAPL,2025-01-10T13:38:45.135091Z,,,,240.79,,100,,,quote
AAPL,2025-01-10T13:38:53.989463Z,,,,240.9,,,,217566,quote
AAPL,2025-01-10T13:38:53.992717Z,,,,240.91,,,,217771,quote
AAPL,2025-01-10T13:38:53.995505Z,,,,240.9,,200,,217781,quote
AAPL,2025-01-10T13:38:53.999774Z,2025-01-10T13:38:47Z,,241,240.91,1000,100,1000,219572,quote
AAPL,2025-01-10T13:38:54.001587Z,,,,,,,,219573,quote
AAPL,2025-01-10T13:38:54.004540Z,2025-01-10T13:38:48Z,,,,900,,900,219673,quote
AAPL,2025-01-10T13:38:54.008526Z,,,,200,,200,,219696,quote
AAPL,2025-01-10T13:39:07.991209Z,2025-01-10T13:38:53Z,,240.95,240.88,,100,,219931,quote
AAPL,2025-01-10T13:39:07.994684Z,,,,,,,,219981,quote
AAPL,2025-01-10T13:39:07.997478Z,,,,240.91,,,,219986,quote
AAPL,2025-01-10T13:39:07.999744Z,,,,240.89,,,,220017,quote
AAPL,2025-01-10T13:39:08.001161Z,,,,,,,,220023,quote
AAPL,2025-01-10T13:39:08.003305Z,,,,,,,,220026,quote
AAPL,2025-01-10T13:39:08.006776Z,,,,,,,,220031,quote
AAPL,2025-01-10T13:39:08.009042Z,,,,240.88,,,,220032,quote
AAPL,2025-01-10T13:39:25.052099Z,,,,,,,,220048,quote
AAPL,2025-01-10T13:39:25.059636Z,,,,,,,,220068,quote
AAPL,2025-01-10T13:39:25.062484Z,,,,,1000,,1000,,quote
AAPL,2025-01-10T13:39:25.063858Z,,,,,,,,220071,quote
AAPL,2025-01-10T13:39:25.069888Z,,,,240.89,,,,,quote
AAPL,2025-01-10T13:39:25.071740Z,,,,,,,,220077,quote
AAPL,2025-01-10T13:39:25.074755Z,,,,240.92,900,,900,220169,quote
AAPL,2025-01-10T13:39:25.077470Z,,,,,,,,220172,quote
AAPL,2025-01-10T13:39:25.079610Z,,,,,,,,220175,quote
AAPL,2025-01-10T13:39:25.080626Z,,,,240.96,,200,,220270,quote
AAPL,2025-01-10T13:39:25.081468Z,,,,240.92,,100,,220290,quote
AAPL,2025-01-10T13:39:25.082243Z,,,,,,,,220297,quote
AAPL,2025-01-10T13:39:34.997665Z,,,,,,,,220311,quote
AAPL,2025-01-10T13:39:35.001066Z,2025-01-10T13:39:26Z,,240.99,,,,,220411,quote
AAPL,2025-01-10T13:39:35.004563Z,2025-01-10T13:39:29Z,,240.9991,,,,,220911,quote
AAPL,2025-01-10T13:39:35.007061Z,,,,240.96,,,,220913,quote
AAPL,2025-01-10T13:39:35.010124Z,,,,,,,,220922,quote
AAPL,2025-01-10T13:39:35.012523Z,,,,200,,200,,,quote
AAPL,2025-01-10T13:39:42.993327Z,2025-01-10T13:39:34Z,,241,,200,,200,227450,quote
AAPL,2025-01-10T13:39:42.996858Z,2025-01-10T13:39:35Z,,240.99,241,241.17,100,300,228040,quote
AAPL,2025-01-10T13:39:42.999803Z,,,,241.02,,,,,quote
AAPL,2025-01-10T13:39:43.000757Z,2025-01-10T13:39:38Z,,241.17,,200,,200,228646,quote
AAPL,2025-01-10T13:39:55.055677Z,,,,,,,,228735,quote
AAPL,2025-01-10T13:39:55.059077Z,,,,,,,,228736,quote
AAPL,2025-01-10T13:39:55.061419Z,,,,241.08,,,,228791,quote
AAPL,2025-01-10T13:39:55.063729Z,,,,,,,,228876,quote
